year,prophet_co2,prophet_lower,prophet_upper,lstm_co2,lstm_lower,lstm_upper,arima_co2,arima_lower,arima_upper,forecast_co2,forecast_co2_lower,forecast_co2_upper,model_used,iso_code,country,forecast_temp_anomaly,forecast_temp_lower,forecast_temp_upper,last_historical_year,last_co2,last_co2_per_capita
2025,1.4332109698490236,0.07563113864461114,2.8035989535638146,0.9947400916508187,0.4731398784509647,1.5163403048506727,0.9260491034417978,0.3596960150099412,1.4924021918736545,1.196802783697666,0.24602454268753204,2.153985100962989,Prophet+LSTM+ARIMA,ABW,Aruba,0.3832217931726503,0.2202730947878225,0.5461162636911738,2024,0.921,8.518
2026,1.434272123715116,0.0,2.754541753419284,1.038875558718825,0.517275345518971,1.560475771918679,0.9267989106643264,0.06433050576319099,1.789267315565462,1.208554679203346,0.1454014628205405,2.2147066485806772,Prophet+LSTM+ARIMA,ABW,Aruba,0.4089015182304452,0.24552822391782106,0.565745810368102,2024,0.921,8.518
2027,1.435333277581208,0.0,2.747552628442969,1.0604704221835775,0.5388702089837235,1.5820706353834315,0.9269102593180898,0.0,2.0147300766683687,1.2145118091660208,0.13471755224593088,2.2729764922344344,Prophet+LSTM+ARIMA,ABW,Aruba,0.4345812432882401,0.26844936713472756,0.5978818618181819,2024,0.921,8.518
2028,1.4363944314473,0.0,2.76274123109457,1.068777607352974,0.5471773941531201,1.590377820552828,0.9269267949319414,0.0,2.201805162405042,1.217123316294879,0.13679434853828001,2.3294163612867527,Prophet+LSTM+ARIMA,ABW,Aruba,0.460260968346035,0.2943489758972844,0.6132701831914098,2024,0.921,8.518
2029,1.437458492584258,0.072852978208245,2.804947203452221,1.0690999915025152,0.5474997783026613,1.5907002047023693,0.9269292505209065,0.0,2.3648597260927753,1.2177365567979843,0.17330143367978781,2.391363584424897,Prophet+LSTM+ARIMA,ABW,Aruba,0.48601104881494706,0.3143609013188334,0.6530325345002317,2024,0.921,8.518
2030,1.43851964645035,0.07071884319138308,2.8317125314689453,1.0658215345796158,0.5442213213797619,1.5874217477794699,0.9269296151833387,0.0,2.51123629745436,1.2174476106659136,0.171414751940632,2.4405207770429302,Prophet+LSTM+ARIMA,ABW,Aruba,0.511690773872742,0.35608454141698903,0.6763601279491342,2024,0.921,8.518
2031,1.4395808003164423,0.11533932108146198,2.8744364668429956,1.0621067157038304,0.5405065025039765,1.5837069289036845,0.9269296693368193,0.0,2.6451902301255275,1.2170494964183836,0.19279628616672512,2.4944425231788006,Prophet+LSTM+ARIMA,ABW,Aruba,0.5373704989305369,0.38032067456481233,0.6979752691872981,2024,0.921,8.518
2032,1.4406419541825344,0.07082147600355797,2.9618596939285924,1.0593295212161067,0.5377293080162527,1.5809297344159607,0.926929677378776,0.0,2.7694313045151078,1.2168857767399879,0.16984306500584218,2.568520106697063,Prophet+LSTM+ARIMA,ABW,Aruba,0.5630502239883317,0.40246216893536096,0.7309589202957162,2024,0.921,8.518
2033,1.4417060153194925,0.0942323670477411,2.8631240918244107,1.0577472816563294,0.5361470684564754,1.5793474948561834,0.926929678573031,0.0,2.8858082647637877,1.2170222477170864,0.18115295063798942,2.547850985817198,Prophet+LSTM+ARIMA,ABW,Aruba,0.5888003044572439,0.4337913702025986,0.7497248864369677,2024,0.921,8.518
2034,1.4427671691855846,0.0,2.8974289580767705,1.0571185917307595,0.5355183785309056,1.5787188049306136,0.9269296787503815,0.0,2.9956487054276137,1.2173956522130776,0.1338795946327264,2.592306356627942,Prophet+LSTM+ARIMA,ABW,Aruba,0.6144800295150387,0.45013785872180284,0.7791470849533273,2024,0.921,8.518
2025,11.832957996119168,8.813358031011989,14.734029071075769,9.886057397129605,8.90559873968608,10.866516054573129,10.924197705417983,9.473679645900253,12.374715764935713,11.119042773696481,9.001498611902578,13.177322490415095,Prophet+LSTM+ARIMA,AFG,Afghanistan,0.3832217931726503,0.2202730947878225,0.5461162636911738,2024,10.826,0.254
2026,12.194830677224534,9.204983616624682,14.894917355403678,9.85055181511143,8.870093157667906,10.831010472554954,10.955303477512683,8.556954094102121,13.353652860923244,11.298879161768294,8.959253621254849,13.493624511071388,Prophet+LSTM+ARIMA,AFG,Afghanistan,0.4089015182304452,0.24552822391782106,0.565745810368102,2024,10.826,0.254
2027,12.556703358329901,9.657019768877978,15.48858033316312,9.824524120150954,8.84406546270743,10.804982777594478,10.965156753141567,7.806465967914578,14.123847538368556,11.47577189748808,8.99114274209449,13.976497745572319,Prophet+LSTM+ARIMA,AFG,Afghanistan,0.4345812432882401,0.26844936713472756,0.5978818618181819,2024,10.826,0.254
2028,12.918576039435269,10.003307622617996,15.727161610310146,9.810539835583143,8.830081178139618,10.790998493026667,10.968277943649978,7.174303824553839,14.762252062746118,11.653992464525915,9.002750061982361,14.251893444098268,Prophet+LSTM+ARIMA,AFG,Afghanistan,0.460260968346035,0.2943489758972844,0.6132701831914098,2024,10.826,0.254
2029,13.281440152543666,10.329331824650357,16.265475720518243,9.804514978042448,8.824056320598924,10.784973635485972,10.969266633153522,6.624988638818838,15.313544627488206,11.834165479070826,9.026927152179619,14.657367426002667,Prophet+LSTM+ARIMA,AFG,Afghanistan,0.48601104881494706,0.3143609013188334,0.6530325345002317,2024,10.826,0.254
2030,13.643312833649032,10.712458390286752,16.50649224391084,9.805243412078198,8.824784754634674,10.785702069521722,10.969579817155518,6.135237605576381,15.803922028734654,12.015362224132947,9.09623478519614,14.900652146519514,Prophet+LSTM+ARIMA,AFG,Afghanistan,0.511690773872742,0.35608454141698903,0.6763601279491342,2024,10.826,0.254
2031,14.0051855147544,10.957743139313777,16.720775666026288,9.80492526778562,8.824466610342096,10.785383925229144,10.969679023447032,5.689982438980601,16.249375607913464,12.196243830185363,9.107483831987564,15.119077716298797,Prophet+LSTM+ARIMA,AFG,Afghanistan,0.5373704989305369,0.38032067456481233,0.6979752691872981,2024,10.826,0.254
2032,14.367058195859768,11.334928214640588,17.27723791996194,9.804874345299766,8.824415687856241,10.78533300274329,10.969710448705708,5.279236127001269,16.660184770410147,12.377175296431254,9.19337706103467,15.499998403269329,Prophet+LSTM+ARIMA,AFG,Afghanistan,0.5630502239883317,0.40246216893536096,0.7309589202957162,2024,10.826,0.254
2033,14.729922308968165,11.878079725087717,17.49407581755302,9.804886954677215,8.824428297233691,10.78534561212074,10.969720403184077,4.896136264388675,17.04330454197948,12.558612993949405,9.36918100294945,15.704200447301567,Prophet+LSTM+ARIMA,AFG,Afghanistan,0.5888003044572439,0.4337913702025986,0.7497248864369677,2024,10.826,0.254
